id,key,name,website,is_recruitment,confidence,reasons
14,sierra,Sierra,https://jobs.ashbyhq.com/sierra,False,0.95,Website is a company career page hosted on Ashby ATS | No evidence of recruitment or staffing services | Typical internal job listing page
27,reedsy,Reedsy,https://reedsy.com/,False,0.95,"Freelancer marketplace for publishing professionals, not a recruitment agency | Connects authors with freelancers for projects, similar to Upwork-style | Core product is not candidate placement into external employers"
38,n8n,N8n,https://jobs.ashbyhq.com/n8n,False,0.99,"Company's website is a jobs.ashbyhq.com subdomain, indicating an in-house career page using an ATS, not a recruitment agency. | N8n is a workflow automation platform company, not a staffing or recruitment firm."
82,confluent,Confluent,https://jobs.ashbyhq.com/confluent,False,0.99,"Confluent is a technology company providing a data streaming platform, not a recruitment or staffing firm. | The provided URL is simply a job board for their own hiring, not a service placing candidates at other employers. | No indication of primary business in recruitment, staffing, or candidate placement services."
121,paddle,Paddle,https://jobs.ashbyhq.com/paddle,False,1.0,"Paddle is a payment and revenue delivery platform for SaaS companies, not a recruitment firm. | The provided URL is a job listings page hosted on an ATS, indicating in-house talent acquisition. | No evidence of offering candidate placement services for fees."
140,uipath,Uipath,https://jobs.ashbyhq.com/uipath,False,0.99,"UiPath is an enterprise automation software company, not a recruitment or staffing agency. | The website is a career page for their own internal hiring needs, not a service placing candidates at other employers. | Primary business is B2B software sales (RPA), not candidate placement for fees."
179,flux-computing,Flux Computing,https://jobs.ashbyhq.com/flux-computing,False,0.95,"Company name 'Flux Computing' suggests a tech/product company, not a recruitment agency | Uses a job board platform (Ashby) for its own hiring, typical of in-house TA | No evidence of candidate placement services for other employers"
191,zapier,Zapier,https://jobs.ashbyhq.com/zapier,False,0.99,"Zapier is a SaaS automation platform, not a staffing or recruitment agency. | The provided URL is a careers page for hiring internal employees, not candidate placement for other companies. | The primary business is software services, not recruiting."
203,ordio,Ordio,https://jobs.ashbyhq.com/ordio,False,0.95,"URL leads to a careers page hosted on Ashby, an ATS platform, indicating in-house hiring | No description suggesting recruitment/staffing services | Typical pattern for companies advertising their own vacancies, not placing candidates at other employers"
258,tilt,Tilt,https://jobs.ashbyhq.com/tilt,False,0.85,"Website is a job board hosted on AshbyHQ, typically used by companies for their own hiring | No description implies it is not explicitly a recruitment or staffing service | URL pattern suggests company listing internal vacancies, not candidate placement for other employers"
262,nivoda,Nivoda,https://jobs.ashbyhq.com/nivoda,False,0.95,"The provided URL is a careers page hosted on an applicant tracking system (Ashby), not a recruitment agency website. | No description indicates candidate placement or staffing services. | Most likely an in-house talent acquisition team rather than a B2B recruitment firm."
