id,key,name,website,is_recruitment,confidence,reasons
14,sierra,Sierra,https://jobs.ashbyhq.com/sierra,False,0.95,"Website is a careers page hosted on an ATS (Ashby), suggesting internal hiring | No evidence of candidate placement at other employers | Company name does not indicate recruitment/staffing services"
27,reedsy,Reedsy,https://reedsy.com/,False,0.95,"Reedsy is a freelancer marketplace connecting authors with publishing professionals, not a recruitment/staffing agency. | It does not place candidates into roles at other employers in exchange for fees. | It operates as a platform for direct client-freelancer connections, not as an intermediary employer."
38,n8n,N8n,https://jobs.ashbyhq.com/n8n,False,0.95,"URL is a company career page on an ATS platform, not a recruitment agency site | No description suggests candidate placement as a service | Typical pattern of in-house talent acquisition"
82,confluent,Confluent,https://jobs.ashbyhq.com/confluent,False,0.99,"The website is a career page for internal job openings at Confluent, not a staffing agency. | Confluent is a technology company offering a data streaming platform, not recruitment services. | No evidence of candidate placement for other employers in exchange for fees."
121,paddle,Paddle,https://jobs.ashbyhq.com/paddle,False,1.0,"Paddle is a software company (revenue delivery for SaaS), not a recruitment or staffing firm. | The URL is a career page hosted on an ATS (Ashby), not a recruitment agency website. | No evidence of placing candidates into roles at other employers for fees."
140,uipath,Uipath,https://jobs.ashbyhq.com/uipath,False,0.99,"Uipath is an RPA software company, not a recruitment agency | The website is a careers page for its own internal hiring, hosted on an ATS | No indication of placing candidates at other employers for fees"
179,flux-computing,Flux Computing,https://jobs.ashbyhq.com/flux-computing,False,0.95,"Uses an Ashby ATS subdomain typical for in-house hiring, not multi-client recruitment | Name 'Flux Computing' suggests a technology or product company rather than a staffing agency | No description or evidence of placing external candidates or charging fees for placement"
191,zapier,Zapier,https://jobs.ashbyhq.com/zapier,False,0.99,"Zapier is a SaaS automation platform, not a recruitment firm | The provided URL is an internal careers page listing Zapier's own vacancies | No evidence of candidate placement services for third-party employers"
203,ordio,Ordio,https://jobs.ashbyhq.com/ordio,False,0.9,"The website is a career page hosted on an ATS (Ashby), typical of a company hiring for its own roles, not a recruitment agency. | No description or context suggests candidate placement for fees. | URL pattern indicates in-house hiring, not a staffing firm."
258,tilt,Tilt,https://jobs.ashbyhq.com/tilt,False,0.95,"Website is a subdomain on ashbyhq.com, an ATS typically used by in-house talent teams | No description provided indicating staffing or recruitment services | Company name 'Tilt' does not suggest a recruitment focus"
262,nivoda,Nivoda,https://jobs.ashbyhq.com/nivoda,False,0.95,"The website is a company career page (hosted on Ashby) for their own job openings, not a platform offering candidate placement services. | Nivoda is known as a B2B diamond and jewelry marketplace, not a recruitment or staffing agency. | No description provided suggests they place candidates at other employers; typical staffing firms would highlight their placement services."
288,blockdaemon,Blockdaemon,https://jobs.ashbyhq.com/blockdaemon,False,0.99,"The company is a blockchain infrastructure provider, not a staffing firm. | The URL is a careers page for their own open positions. | No indication of candidate placement services for other employers."
290,hyperexponential,Hyperexponential,https://jobs.ashbyhq.com/hyperexponential,False,0.95,"The company is known as a reinsurance pricing platform (SaaS), not a staffing firm. | Website is a career page, not a recruitment services site. | No indication of candidate placement as a core service."
298,camunda,Camunda,https://jobs.ashbyhq.com/camunda,False,0.99,"Camunda is a process automation software vendor, not a recruitment agency. | The provided URL is a career page for their internal job listings, not a service to place candidates at other companies. | No indication of staffing, headhunting, or RPO services."
310,rain,Rain,https://jobs.ashbyhq.com/rain,False,0.95,"The website is a company career page hosted on AshbyHQ, suggesting direct hiring, not external placement. | No indication of recruitment staffing services; typical of a company hiring for its own roles. | AshbyHQ is an applicant tracking system used by companies to manage their own hiring."
315,socket,Socket,https://jobs.ashbyhq.com/socket,False,0.95,"URL leads to an ATS-hosted career page, typical of in-house hiring | No description indicating candidate placement for fees | Company name does not suggest a recruitment or staffing agency"
316,li.fi,Li.fi,https://jobs.ashbyhq.com/li.fi,False,0.95,"The website is a company career page hosted on an ATS platform (Ashby), indicating in-house hiring rather than recruitment services. | No evidence found that Li.fi operates as a staffing or recruitment agency. | The name Li.fi suggests a product/tech company, not a recruitment firm."
318,photoroom,Photoroom,https://jobs.ashbyhq.com/photoroom,False,0.98,"Company is a product company (AI photo editing tool), not a staffing agency | URL is a job board for their own roles, not a recruitment service | No evidence of primary business being candidate placement"
322,squads,Squads,https://jobs.ashbyhq.com/squads,False,0.8,"URL is a careers page on Ashby, suggesting in-house hiring | No evidence of recruitment services; name suggests a product/team company"
330,oyster,Oyster,https://jobs.ashbyhq.com/oyster,False,0.95,"Oyster is a global employment platform, not a recruitment agency | It does not place candidates into roles at client companies for a fee | Its primary business is providing infrastructure for hiring and employing globally"
362,snowflake,Snowflake,https://jobs.ashbyhq.com/snowflake,False,0.99,"Snowflake is a cloud data platform company, not a recruitment agency. | The provided website is a career page for hiring internal roles, not candidate placement for other employers. | No evidence of staffing or recruitment services in company description or website."
370,proxima-fusion,Proxima Fusion,https://jobs.ashbyhq.com/proxima-fusion,False,0.98,"The website is a company's own job board hosted on an ATS platform, indicating it is hiring for its own positions rather than placing candidates at other companies. | Proxima Fusion appears to be a technology or engineering company, not a staffing or recruitment agency. | No indication of offering recruitment services to third-party employers."
373,limitless,Limitless,https://jobs.ashbyhq.com/limitless,False,0.95,"The website is a careers page hosted on an ATS platform (Ashby) used by companies for their own hiring. | No description or evidence suggests it offers recruitment services to other employers. | The subdomain structure indicates it is a company's job board, not a staffing agency."
383,deel,Deel,https://jobs.ashbyhq.com/deel,False,0.98,"Deel is an HR and payroll SaaS platform for global teams | Core product is compliance and payment management, not candidate placement | Website is a careers page, not a recruitment marketplace"
386,amo,Amo,https://jobs.ashbyhq.com/amo,False,0.95,"URL is a careers page hosted on an ATS platform (Ashby), suggesting internal hiring | No description indicating recruitment or staffing services | Company name and context do not imply candidate placement for other employers"
